dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002470,21.572915,0.002500,0.100000,2.000000,40.000000,0.000000
0.050000,0.012470,21.572915,0.012500,0.200000,2.000000,0.000000,0.000000
0.050000,0.032470,21.572915,0.032500,0.400000,4.000000,40.000000,0.000000
0.050000,0.062470,21.572915,0.062500,0.600000,4.000000,-0.000000,0.000000
0.050000,0.102470,21.572915,0.102500,0.800000,4.000000,-0.000000,0.000000
0.050000,0.149970,21.572915,0.150000,0.950000,3.000000,-20.000000,0.000000
0.050000,0.199970,21.572915,0.200000,1.000000,1.000000,-40.000000,0.000000
0.050000,0.249970,21.572915,0.250000,1.000000,0.000000,-20.000000,0.000000
0.050000,0.299970,21.572915,0.300000,1.000000,0.000000,-0.000000,0.000000
0.050000,0.349970,21.572915,0.350000,1.000000,-0.000000,-0.000000,0.000000
0.050000,0.399970,21.572915,0.400000,1.000000,-0.000000,-0.000000,0.000000
0.050000,0.449970,21.572915,0.450000,1.000000,-0.000000,0.000000,0.000000
0.050000,0.499970,21.572915,0.500000,1.000000,-0.000000,0.000000,0.000000
0.050000,0.549970,21.572915,0.550000,1.000000,0.000000,0.000000,0.000000
0.050000,0.599970,21.572915,0.600000,1.000000,0.000000,0.000000,0.000000
0.050000,0.649970,21.572915,0.650000,1.000000,-0.000000,-0.000000,0.000000
0.050000,0.699970,21.572915,0.700000,1.000000,0.000000,0.000000,0.000000
0.050000,0.749970,21.572915,0.750000,1.000000,-0.000000,-0.000000,0.000000
0.050000,0.799970,21.572915,0.800000,1.000000,0.000000,0.000000,0.000000
0.050000,0.849970,21.572915,0.850000,1.000000,0.000000,0.000000,0.000000
0.050000,0.899970,21.572915,0.900000,1.000000,0.000000,-0.000000,0.000000
0.050000,0.949970,21.572915,0.950000,1.000000,-0.000000,-0.000000,0.000000
0.050000,0.999970,21.572915,1.000000,1.000000,0.000000,0.000000,0.000000
0.050000,1.049970,21.572915,1.050000,1.000000,0.000000,0.000000,0.000000
0.050000,1.099970,21.572915,1.100000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.149970,21.572915,1.150000,1.000000,0.000000,0.000000,0.000000
0.050000,1.199970,21.572915,1.200000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.249970,21.572915,1.250000,1.000000,0.000000,0.000000,0.000000
0.050000,1.299970,21.572915,1.300000,1.000000,0.000000,0.000000,0.000000
0.050000,1.349970,21.572915,1.350000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.399970,21.572915,1.400000,1.000000,0.000000,0.000000,0.000000
0.050000,1.449970,21.572915,1.450000,1.000000,0.000000,-0.000000,0.000000
0.050000,1.499970,21.572915,1.500000,1.000000,0.000000,0.000000,0.000000
0.050000,1.549970,21.572915,1.550000,1.000000,0.000000,0.000000,0.000000
0.050000,1.599970,21.572915,1.600000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.649970,21.572915,1.650000,1.000000,0.000000,0.000000,0.000000
0.050000,1.699970,21.572915,1.700000,1.000000,0.000000,0.000000,0.000000
0.050000,1.749970,21.572915,1.750000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.799970,21.572915,1.800000,1.000000,0.000000,0.000000,0.000000
0.050000,1.849970,21.572915,1.850000,1.000000,0.000000,-0.000000,0.000000
0.050000,1.899970,21.572915,1.900000,1.000000,-0.000000,-0.000000,0.000000
0.050000,1.949970,21.572915,1.950000,1.000000,0.000000,0.000000,0.000000
0.050000,1.999970,21.572915,2.000000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.049970,21.572915,2.050000,1.000000,-0.000000,0.000000,0.000000
0.050000,2.099970,21.572915,2.100000,1.000000,0.000000,0.000000,0.000000
0.050000,2.149970,21.572915,2.150000,1.000000,0.000000,0.000000,0.000000
0.050000,2.199970,21.572915,2.200000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.249970,21.572915,2.250000,1.000000,0.000000,0.000000,0.000000
0.050000,2.299970,21.572915,2.300000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.349970,21.572915,2.350000,1.000000,0.000000,0.000000,0.000000
0.050000,2.399970,21.572915,2.400000,1.000000,0.000000,0.000000,0.000000
0.050000,2.449970,21.572915,2.450000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.499970,21.572915,2.500000,1.000000,0.000000,0.000000,0.000000
0.050000,2.549970,21.572915,2.550000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.599970,21.572915,2.600000,1.000000,0.000000,0.000000,0.000000
0.050000,2.649970,21.572915,2.650000,1.000000,0.000000,0.000000,0.000000
0.050000,2.699970,21.572915,2.700000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.749970,21.572915,2.750000,1.000000,0.000000,0.000000,0.000000
0.050000,2.799970,21.572915,2.800000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.849970,21.572915,2.850000,1.000000,0.000000,0.000000,0.000000
0.050000,2.899970,21.572915,2.900000,1.000000,0.000000,0.000000,0.000000
0.050000,2.949970,21.572915,2.950000,1.000000,-0.000000,-0.000000,0.000000
0.050000,2.999970,21.572915,3.000000,1.000000,0.000000,0.000000,0.000000
0.050000,3.037688,21.572669,3.037719,0.754376,-4.912482,-98.249648,6.269994
0.050000,3.074915,21.571924,3.074953,0.744683,-0.193855,94.372557,6.256224
0.050000,3.111583,21.570674,3.111643,0.733794,-0.217778,-0.478471,6.241867
