dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002509,22.937500,0.002500,0.100000,2.000000,40.000000,6.283078
0.050000,0.010324,22.937498,0.010315,0.156308,1.126169,-17.476627,6.282741
0.050000,0.023353,22.937488,0.023344,0.260572,2.085267,19.181966,6.282177
0.050000,0.041599,22.937463,0.041590,0.364922,2.087008,0.034826,6.281381
0.050000,0.065068,22.937408,0.065060,0.469395,2.089465,0.049140,6.280347
0.050000,0.093770,22.937308,0.093761,0.574028,2.092658,0.063849,6.279066
0.050000,0.127712,22.937142,0.127704,0.678859,2.096612,0.079081,6.277526
0.050000,0.166908,22.936885,0.166901,0.783927,2.101361,0.094976,6.275717
0.050000,0.211370,22.936507,0.211364,0.889274,2.106945,0.111691,6.273622
0.050000,0.261114,22.935972,0.261112,0.994945,2.113415,0.129398,6.271225
0.050000,0.316159,22.935239,0.316161,1.100986,2.120830,0.148296,6.268506
0.050000,0.376523,22.934261,0.376533,1.207449,2.129260,0.168609,6.265442
0.050000,0.442230,22.932982,0.442253,1.314389,2.138790,0.190596,6.262008
0.050000,0.513305,22.931341,0.513346,1.421865,2.149517,0.214549,6.258175
0.050000,0.589773,22.929266,0.589843,1.529943,2.161558,0.240814,6.253911
0.050000,0.671667,22.926676,0.671778,1.638695,2.175047,0.269784,6.249181
0.050000,0.759019,22.923476,0.759188,1.748202,2.190143,0.301913,6.243943
0.050000,0.851864,22.919564,0.852116,1.858554,2.207030,0.337734,6.238154
0.050000,0.950242,22.914818,0.950608,1.969850,2.225922,0.377854,6.231761
0.050000,1.054195,22.909102,1.054718,2.082203,2.247072,0.422985,6.224710
0.050000,1.161093,22.902441,1.161824,2.142103,1.197987,-20.981685,6.217131
0.050000,1.268278,22.894926,1.269272,2.148965,0.137241,-21.214931,6.209186
0.050000,1.375755,22.886511,1.377078,2.156115,0.142997,0.115132,6.200860
0.050000,1.483528,22.877149,1.485256,2.163569,0.149081,0.121680,6.192136
0.050000,1.591599,22.866787,1.593823,2.171344,0.155504,0.128443,6.182997
0.050000,1.699973,22.855372,1.702796,2.179458,0.162273,0.135398,6.173425
0.050000,1.808650,22.842848,1.812192,2.187928,0.169398,0.142500,6.163402
0.050000,1.917631,22.829155,1.922031,2.196772,0.176884,0.149709,6.152907
0.050000,2.026917,22.814229,2.032331,2.206008,0.184731,0.156950,6.141919
0.050000,2.136506,22.798005,2.143114,2.215655,0.192938,0.164142,6.130417
0.050000,2.246393,22.780413,2.254401,2.225730,0.201498,0.171180,6.118377
0.050000,2.356573,22.761379,2.366213,2.236250,0.210394,0.177929,6.105777
0.050000,2.467039,22.740825,2.478575,2.247230,0.219605,0.184225,6.092590
0.050000,2.577779,22.718671,2.591509,2.258685,0.229099,0.189871,6.078793
0.050000,2.688779,22.694831,2.705040,2.270627,0.238830,0.194628,6.064358
0.050000,2.800021,22.669215,2.819193,2.283064,0.248741,0.198210,6.049260
0.050000,2.911482,22.641730,2.933994,2.296001,0.258755,0.200284,6.033472
0.050000,3.023135,22.612277,3.049466,2.309440,0.268778,0.200461,6.016967
0.050000,3.134945,22.580756,3.165634,2.323375,0.278693,0.198297,5.999719
0.050000,3.246873,22.547060,3.282524,2.337793,0.288357,0.193291,5.981702
0.050000,3.358870,22.511082,3.400158,2.352673,0.297602,0.184889,5.962891
0.050000,3.470878,22.472710,3.518557,2.367984,0.306226,0.172488,5.943263
0.050000,3.582833,22.431831,3.637741,2.383684,0.313999,0.155454,5.922798
0.050000,3.694656,22.388332,3.757727,2.399717,0.320656,0.133143,5.901477
0.050000,3.806259,22.342098,3.878527,2.416012,0.325902,0.104923,5.879287
0.050000,3.917541,22.293019,4.000152,2.432483,0.329414,0.070226,5.856218
0.050000,4.028387,22.240986,4.122603,2.449025,0.330843,0.028590,5.832267
0.050000,4.138669,22.185897,4.245879,2.465516,0.329829,-0.020278,5.807436
0.050000,4.248244,22.127656,4.369969,2.481817,0.326008,-0.076432,5.781736
0.050000,4.356953,22.066180,4.494858,2.497768,0.319027,-0.139612,5.755184
0.050000,4.464627,22.001398,4.620518,2.513196,0.308568,-0.209178,5.727810
0.050000,4.571080,21.933254,4.746913,2.527915,0.294366,-0.284049,5.699650
0.050000,4.676117,21.861712,4.874000,2.541726,0.276232,-0.362666,5.670753
0.050000,4.779532,21.786757,5.001721,2.554430,0.254083,-0.442991,5.641178
0.050000,4.881111,21.708398,5.130013,2.565828,0.227955,-0.522550,5.610996
0.050000,4.980641,21.626668,5.258799,2.575730,0.198029,-0.598529,5.580285
0.050000,5.077905,21.541627,5.387997,2.583961,0.164633,-0.667923,5.549135
0.050000,5.172692,21.453363,5.517516,2.590374,0.128246,-0.727727,5.517642
0.050000,5.264800,21.361989,5.647258,2.594848,0.089488,-0.775165,5.485911
0.050000,5.354040,21.267644,5.777123,2.597303,0.049092,-0.807914,5.454049
0.050000,5.440241,21.170487,5.907008,2.597696,0.007876,-0.824318,5.422166
0.050000,5.523251,21.070698,6.036810,2.596031,-0.033300,-0.823536,5.390372
0.050000,5.602944,20.968474,6.166427,2.592352,-0.073582,-0.805626,5.358774
0.050000,5.679217,20.864020,6.295765,2.586744,-0.112158,-0.771537,5.327475
0.050000,5.751995,20.757551,6.424731,2.579329,-0.148310,-0.723022,5.296572
0.050000,5.821230,20.649282,6.553244,2.570257,-0.181433,-0.662463,5.266153
0.050000,5.886900,20.539429,6.681229,2.559704,-0.211066,-0.592675,5.236297
0.050000,5.949007,20.428201,6.808622,2.547859,-0.236899,-0.516661,5.207074
0.050000,6.007577,20.315800,6.935368,2.534921,-0.258769,-0.437399,5.178540
0.050000,6.062656,20.202416,7.061423,2.521088,-0.276652,-0.357653,5.150744
0.050000,6.114308,20.088227,7.186750,2.506556,-0.290644,-0.279839,5.123724
0.050000,6.162610,19.973397,7.311326,2.491509,-0.300940,-0.205917,5.097506
0.050000,6.207653,19.858075,7.435132,2.476118,-0.307809,-0.137382,5.072110
0.050000,6.249536,19.742397,7.558159,2.460540,-0.311572,-0.075253,5.047544
0.050000,6.288365,19.626482,7.680404,2.444911,-0.312577,-0.020113,5.023813
0.050000,6.324251,19.510436,7.801872,2.429352,-0.311187,0.027814,5.000911
0.050000,6.357308,19.394353,7.922570,2.413964,-0.307756,0.068618,4.978830
0.050000,6.387650,19.278313,8.042512,2.398832,-0.302625,0.102607,4.957557
0.050000,6.415390,19.162384,8.161713,2.384027,-0.296113,0.130250,4.937073
0.050000,6.440642,19.046626,8.280193,2.369602,-0.288507,0.152123,4.917359
0.050000,6.463514,18.931089,8.397973,2.355598,-0.280065,0.168840,4.898392
0.050000,6.484113,18.815812,8.515075,2.342048,-0.271012,0.181061,4.880148
0.050000,6.502543,18.700831,8.631524,2.328971,-0.261543,0.189377,4.862601
0.050000,6.518903,18.586174,8.747343,2.316379,-0.251823,0.194403,4.845726
0.050000,6.533287,18.471861,8.862557,2.304280,-0.241989,0.196671,4.829496
0.050000,6.545787,18.357911,8.977190,2.292672,-0.232156,0.196666,4.813886
0.050000,6.556488,18.244337,9.091268,2.281551,-0.222415,0.194823,4.798869
0.050000,6.565473,18.131147,9.204813,2.270910,-0.212838,0.191528,4.784419
0.050000,6.572820,18.018349,9.317850,2.260735,-0.203484,0.187084,4.770512
0.050000,6.578601,17.905947,9.430401,2.251016,-0.194394,0.181792,4.757124
0.050000,6.582888,17.793942,9.542488,2.241736,-0.185601,0.175865,4.744230
0.050000,6.585745,17.682335,9.654132,2.232879,-0.177126,0.169510,4.731809
0.050000,6.587236,17.571123,9.765353,2.224430,-0.168982,0.162868,4.719839
0.050000,6.587500,17.464195,9.872282,2.138584,-1.716922,-30.958785,4.712389
0.050000,6.587500,17.364195,9.972282,2.000000,-2.771681,-21.095191,4.712389
0.050000,6.587500,17.264195,10.072282,2.000000,-0.000000,55.433624,4.712389
0.050000,6.587500,17.164195,10.172282,2.000000,-0.000000,0.000000,4.712389
0.050000,6.587500,17.064195,10.272282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,16.964195,10.372282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,16.864195,10.472282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,16.764195,10.572282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,16.664195,10.672282,2.000000,-0.000000,0.000000,4.712389
0.050000,6.587500,16.564195,10.772282,2.000000,-0.000000,0.000000,4.712389
0.050000,6.587500,16.464195,10.872282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,16.364195,10.972282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,16.264195,11.072282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,16.164195,11.172282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,16.064195,11.272282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,15.964195,11.372282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,15.864195,11.472282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,15.764195,11.572282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,15.664195,11.672282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,15.564195,11.772282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,15.464195,11.872282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,15.364195,11.972282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,15.264195,12.072282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,15.164195,12.172282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,15.064195,12.272282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,14.964195,12.372282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,14.864195,12.472282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,14.764195,12.572282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,14.664195,12.672282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,14.564195,12.772282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,14.464195,12.872282,2.000000,0.000000,-0.000000,4.712389
0.050000,6.587500,14.364195,12.972282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,14.264195,13.072282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,14.164195,13.172282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,14.064195,13.272282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.964195,13.372282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,13.864195,13.472282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.764195,13.572282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.664195,13.672282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.564195,13.772282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,13.464195,13.872282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.364195,13.972282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,13.264195,14.072282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.164195,14.172282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,13.064195,14.272282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,12.964195,14.372282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,12.864195,14.472282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,12.764195,14.572282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,12.664195,14.672282,2.000000,0.000000,0.000000,4.712389
0.050000,6.587500,12.564195,14.772282,2.000000,-0.000000,-0.000000,4.712389
0.050000,6.587500,12.464195,14.872282,2.000000,0.000000,0.000000,4.712389
