dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002307,21.062500,0.002500,0.100000,2.000000,40.000000,6.283078
0.050000,0.009491,21.062498,0.009685,0.143692,0.873831,-22.523373,6.282741
0.050000,0.021463,21.062489,0.021656,0.239428,1.914733,20.818032,6.282177
0.050000,0.038217,21.062466,0.038410,0.335078,1.912992,-0.034828,6.281381
0.050000,0.059747,21.062416,0.059940,0.430605,1.910534,-0.049144,6.280347
0.050000,0.086045,21.062324,0.086239,0.525972,1.907342,-0.063854,6.279066
0.050000,0.117102,21.062172,0.117296,0.621141,1.903387,-0.079088,6.277526
0.050000,0.152905,21.061938,0.153099,0.716073,1.898638,-0.094986,6.275717
0.050000,0.193439,21.061593,0.193636,0.810725,1.893053,-0.111702,6.273622
0.050000,0.238690,21.061106,0.238888,0.905055,1.886582,-0.129413,6.271225
0.050000,0.288636,21.060441,0.288839,0.999013,1.879166,-0.148315,6.268506
0.050000,0.343256,21.059556,0.343467,1.092550,1.870735,-0.168634,6.265442
0.050000,0.402525,21.058403,0.402747,1.185610,1.861203,-0.190625,6.262008
0.050000,0.466415,21.056928,0.466654,1.278134,1.850474,-0.214589,6.258175
0.050000,0.534893,21.055070,0.535156,1.370055,1.838431,-0.240862,6.253911
0.050000,0.607921,21.052759,0.608222,1.461302,1.824939,-0.269843,6.249181
0.050000,0.685459,21.049920,0.685811,1.551794,1.809839,-0.301989,6.243943
0.050000,0.767458,21.046464,0.767883,1.641441,1.792948,-0.337827,6.238154
0.050000,0.853865,21.042296,0.854390,1.730144,1.774049,-0.377973,6.231761
0.050000,0.944617,21.037307,0.945280,1.817788,1.752893,-0.423132,6.224710
0.050000,1.037332,21.031530,1.038174,1.857888,0.801983,-19.018200,6.217131
0.050000,1.129656,21.025057,1.130726,1.851025,-0.137260,-18.784851,6.209186
0.050000,1.221569,21.017862,1.222919,1.843874,-0.143018,-0.115166,6.200860
0.050000,1.313045,21.009915,1.314740,1.836419,-0.149104,-0.121718,6.192136
0.050000,1.404060,21.001189,1.406172,1.828642,-0.155528,-0.128486,6.182997
0.050000,1.494586,20.991655,1.497199,1.820527,-0.162300,-0.135442,6.173425
0.050000,1.584593,20.981283,1.587801,1.812056,-0.169428,-0.142553,6.163402
0.050000,1.674050,20.970044,1.677962,1.803210,-0.176916,-0.149762,6.152907
0.050000,1.762924,20.957907,1.767660,1.793972,-0.184767,-0.157010,6.141919
0.050000,1.851178,20.944842,1.856877,1.784323,-0.192977,-0.164209,6.130417
0.050000,1.938775,20.930819,1.945589,1.774246,-0.201540,-0.171251,6.118377
0.050000,2.025674,20.915808,2.033775,1.763724,-0.210440,-0.178007,6.105777
0.050000,2.111833,20.899778,2.121412,1.752741,-0.219656,-0.184311,6.092590
0.050000,2.197206,20.882700,2.208476,1.741283,-0.229154,-0.189964,6.078793
0.050000,2.281745,20.864545,2.294943,1.729339,-0.238890,-0.194728,6.064358
0.050000,2.365401,20.845282,2.380788,1.716898,-0.248806,-0.198317,6.049260
0.050000,2.448121,20.824886,2.465986,1.703957,-0.258826,-0.200398,6.033472
0.050000,2.529852,20.803328,2.550512,1.690514,-0.268855,-0.200583,6.016967
0.050000,2.610536,20.780583,2.634340,1.676576,-0.278776,-0.198427,5.999719
0.050000,2.690116,20.756628,2.717448,1.662153,-0.288448,-0.193428,5.981702
0.050000,2.768533,20.731439,2.799812,1.647268,-0.297699,-0.185029,5.962891
0.050000,2.845727,20.704996,2.881409,1.631952,-0.306331,-0.172632,5.943263
0.050000,2.921638,20.677280,2.962221,1.616246,-0.314111,-0.155600,5.922798
0.050000,2.996207,20.648276,3.042232,1.600207,-0.320775,-0.133286,5.901477
0.050000,3.069373,20.617968,3.121427,1.583906,-0.326028,-0.105062,5.879287
0.050000,3.141081,20.586346,3.199799,1.567429,-0.329546,-0.070357,5.856218
0.050000,3.211277,20.553397,3.277342,1.550880,-0.330981,-0.028705,5.832267
0.050000,3.279911,20.519116,3.354062,1.534381,-0.329972,0.020183,5.807436
0.050000,3.346937,20.483494,3.429965,1.518073,-0.326154,0.076363,5.781736
0.050000,3.412314,20.446525,3.505071,1.502114,-0.319175,0.139577,5.755184
0.050000,3.476010,20.408206,3.579405,1.486679,-0.308716,0.209183,5.727810
0.050000,3.537997,20.368529,3.653003,1.471953,-0.294511,0.284101,5.699650
0.050000,3.598256,20.327489,3.725909,1.458135,-0.276372,0.362770,5.670753
0.050000,3.656774,20.285078,3.798180,1.445424,-0.254215,0.443151,5.641178
0.050000,3.713548,20.241285,3.869881,1.434020,-0.228076,0.522769,5.610996
0.050000,3.768578,20.196098,3.941087,1.424113,-0.198136,0.598807,5.580285
0.050000,3.821875,20.149502,4.011881,1.415877,-0.164723,0.668256,5.549135
0.050000,3.873451,20.101477,4.082354,1.409461,-0.128318,0.728110,5.517642
0.050000,3.923323,20.052003,4.152603,1.404984,-0.089538,0.775587,5.485911
0.050000,3.971513,20.001057,4.222730,1.402528,-0.049120,0.808365,5.454049
0.050000,4.018040,19.948615,4.292836,1.402134,-0.007881,0.824784,5.422166
0.050000,4.062928,19.894654,4.363026,1.403800,0.033319,0.824002,5.390372
0.050000,4.106195,19.839153,4.433400,1.407481,0.073623,0.806078,5.358774
0.050000,4.147860,19.782091,4.504055,1.413092,0.112221,0.771963,5.327475
0.050000,4.187940,19.723454,4.575081,1.420512,0.148392,0.723407,5.296572
0.050000,4.226447,19.663233,4.646560,1.429588,0.181532,0.662802,5.266153
0.050000,4.263392,19.601426,4.718567,1.440147,0.211180,0.592959,5.236297
0.050000,4.298785,19.538038,4.791167,1.451999,0.237024,0.516887,5.207074
0.050000,4.332631,19.473079,4.864414,1.464944,0.258902,0.437567,5.178540
0.050000,4.364936,19.406571,4.938354,1.478783,0.276791,0.357768,5.150744
0.050000,4.395706,19.338539,5.013020,1.493323,0.290786,0.279899,5.123724
0.050000,4.424946,19.269020,5.088439,1.508377,0.301082,0.205933,5.097506
0.050000,4.452662,19.198051,5.164627,1.523774,0.307950,0.137359,5.072110
0.050000,4.478862,19.125680,5.241595,1.539360,0.311710,0.075195,5.047544
0.050000,4.503556,19.051956,5.319345,1.554995,0.312712,0.020031,5.023813
0.050000,4.526754,18.976932,5.397873,1.570561,0.311316,-0.027920,5.000911
0.050000,4.548470,18.900666,5.477171,1.585955,0.307879,-0.068737,4.978830
0.050000,4.568719,18.823214,5.557225,1.601092,0.302742,-0.102734,4.957557
0.050000,4.587519,18.744637,5.638021,1.615903,0.296223,-0.130384,4.937073
0.050000,4.604891,18.664993,5.719537,1.630334,0.288610,-0.152257,4.917359
0.050000,4.620855,18.584341,5.801754,1.644342,0.280161,-0.168983,4.898392
0.050000,4.635435,18.502738,5.884649,1.657897,0.271102,-0.181186,4.880148
0.050000,4.648657,18.420242,5.968198,1.670978,0.261626,-0.189510,4.862601
0.050000,4.660546,18.336907,6.052377,1.683573,0.251900,-0.194527,4.845726
0.050000,4.671130,18.252786,6.137161,1.695676,0.242060,-0.196785,4.829496
0.050000,4.680437,18.167931,6.222525,1.707287,0.232222,-0.196776,4.813886
0.050000,4.688495,18.082389,6.308446,1.718411,0.222475,-0.194930,4.798869
0.050000,4.695335,17.996207,6.394898,1.729056,0.212894,-0.191617,4.784419
0.050000,4.700986,17.909430,6.481860,1.739232,0.203535,-0.187179,4.770512
